R,Site,Species,Family,Function,Leaf_type,Disease_type,N_c,mean_c,sd_c,Leaf_type0,Disease_type0,N_e,mean_e,sd_e,LON,LAT,ELE,MAT,MAP
NM,44,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.003503103,0.000593536,Symptomatic,1,4,0.002082134,0.000285315,119.3746549,46.53231389,1032.5,-1.773958445,372.5
NM,45,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004182945,0.001177,Symptomatic,1,4,0.002747993,0.000716561,119.6818627,47.32916383,863.5,-2.0625,398
NM,46,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,leaf spots,3,0.004305172,0.000212755,Symptomatic,1,4,0.004141323,0.000458076,119.0113542,47.8005875,762.75,-1.00833321,316
NM,48,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.005664363,0.001047058,Symptomatic,1,4,0.005243253,0.000746306,117.1618535,48.49258681,591,0.77916682,232
NM,49,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004767689,0.000148917,Symptomatic,1,4,0.003743915,0.00064137,116.97735,48.98835,601.25,0.92083323,246
NM,50,Potentilla multifida,Rosaceae,Forb,Asymptomatic,rusts,3,0.00352342,0.001207533,Symptomatic,2,3,0.002758725,0.000568721,117.4849278,49.56362153,697.5,-0.30416676,298
NM,50,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,3,0.005406539,0.000840522,Symptomatic,1,4,0.004236696,0.00018792,117.4849278,49.56362153,697.5,-0.30416676,298
NM,50,Lespedeza bicolor,Legume,Fabaceae,Asymptomatic,leaf spots,4,0.002892593,0.00017772,Symptomatic,1,4,0.002263836,0.000494683,117.4849278,49.56362153,697.5,-0.30416676,298
NM,51,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,rusts,4,0.005174704,0.000450402,Symptomatic,2,4,0.004436109,0.000109387,118.406825,49.76251667,539,-0.79583347,323
NM,51,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.005658856,0.000217054,Symptomatic,1,4,0.004544743,0.000946536,118.406825,49.76251667,539,-0.79583347,323
NM,52,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004437147,0.000941378,Symptomatic,1,4,0.003808067,0.001311083,119.2015958,50.00669097,531.25,-1.73333335,348
NM,53,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,rusts,4,0.003070397,0.000813719,Symptomatic,2,4,0.003154974,0.000669841,120.2075222,50.14520347,617.75,-2.7750001,403
NM,55,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.003893914,0.001010137,Symptomatic,1,4,0.003530287,0.000708288,119.6242896,49.08647361,687.75,-1.32499993,338
NM,56,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,rusts,4,0.00305246,0.000533882,Symptomatic,2,4,0.003020902,0.000291823,118.9126993,48.86562083,725,-1.22916663,310
NM,56,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004793262,0.000710142,Symptomatic,1,4,0.003895467,0.000346198,118.9126993,48.86562083,725,-1.22916663,310
NM,56,Pisum sp.,Legume,Fabaceae,Asymptomatic,powdery mildew,4,0.00505554,0.000424213,Symptomatic,2,3,0.005041063,0.000830062,118.9126993,48.86562083,725,-1.22916663,310
NM,57,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,powdery mildew,4,0.003375287,0.000445659,Symptomatic,2,4,0.002992207,0.000286397,119.7117972,48.0742618,786,-1.82083333,375
NM,57,Pisum sp.,Legume,Fabaceae,Asymptomatic,rusts,4,0.003371859,0.000456456,Symptomatic,2,4,0.002848334,0.00050205,119.7117972,48.0742618,786,-1.82083333,375
NM,58,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,rusts,4,0.004010755,0.000314834,Symptomatic,2,4,0.003731222,0.000278631,119.8311,48.67110556,682.75,-1.04999995,364
NM,58,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.003722589,0.000436386,Symptomatic,1,4,0.003017663,0.000292981,119.8311,48.67110556,682.75,-1.04999995,364
NM,59,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.00273226,0.000306207,Symptomatic,1,3,0.003005283,0.000259501,119.9806979,46.76318611,1193.5,-2.64583325,440
NM,59,Potentilla longifolia,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.003429151,0.000449509,Symptomatic,1,4,0.002078466,0.00056354,119.9806979,46.76318611,1193.5,-2.64583325,440
NM,61,Chrysanthemum sp.,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.005811589,0.001059336,Symptomatic,1,4,0.005358787,0.00068934,121.1528438,46.28326042,541,2.44687492,406.25
NM,63,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.00342358,0.000420785,Symptomatic,1,4,0.002364476,0.000418691,120.8852847,45.49666806,457.5,4.2166667,405
NM,64,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.001929154,0.000249861,Symptomatic,1,4,0.002196636,0.000263843,120.3919604,45.10922431,605.75,3.923958303,389
NM,64,Lespedeza bicolor,Legume,Fabaceae,Asymptomatic,powdery mildew,4,0.002307546,0.000263181,Symptomatic,2,4,0.002246513,0.000121025,120.3919604,45.10922431,605.75,3.923958303,389
NM,65,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.004460582,0.000553058,Symptomatic,1,4,0.002428669,0.000623609,119.7417685,45.40838335,1067.5,0.555208215,395
NM,65,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.002477601,0.00064328,Symptomatic,1,4,0.003037644,0.000643684,119.7417685,45.40838335,1067.5,0.555208215,395
NM,66,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004095979,0.000705179,Symptomatic,1,4,0.002794851,0.000444628,119.1201021,45.11656389,992.75,0.904166725,363
NM,67,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.005010752,0.0010023,Symptomatic,1,4,0.005129947,0.00080047,118.4110264,44.75046111,1034,1.44583333,347
NM,68,Potentilla chinensis,Rosaceae,Forb,Asymptomatic,rusts,4,0.003202702,0.000484565,Symptomatic,2,4,0.002771266,0.000382751,118.9382285,44.3093,857.25,3.7125001,375
NM,68,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.00386438,0.000655815,Symptomatic,1,4,0.003136064,0.000457239,118.9382285,44.3093,857.25,3.7125001,375
NM,69,Lespedeza bicolor,Legume,Fabaceae,Asymptomatic,powdery mildew,3,0.002290913,0.000500311,Symptomatic,2,3,0.002158726,0.000248343,118.817984,43.7962757,787.5,4.875,379
NM,70,Pennisetum alopecuroides,Poaceae,Grass,Asymptomatic,leaf blight,4,0.006279478,0.000550948,Symptomatic,1,4,0.006529425,0.000626038,118.6798958,43.32042709,721,5.9000001,386
NM,71,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.003732502,0.000534335,Symptomatic,1,4,0.002005005,0.000190597,118.4900445,42.86079028,1003.25,5.32916641,392
NM,72,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.005632924,0.00075131,Symptomatic,1,4,0.004756229,0.000842187,118.2596306,42.4164382,865.75,6.169791815,396.25
NM,74,Persicaria viscosa,Polygonaceae,Forb,Asymptomatic,leaf spots,4,0.002903209,0.000284442,Symptomatic,1,4,0.001727079,0.000318838,116.3146,42.22565764,1380,2.04583311,406
NM,77,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.005326541,0.000319421,Symptomatic,1,4,0.004655923,0.000578566,114.211975,43.48690208,1144,3.07500005,227
NM,89,Leymus chinensis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004852529,0.000979761,Symptomatic,1,4,0.003147157,0.00019354,113.9549854,41.08741042,1450.75,4.20833349,337
NM,92,Setaria viridis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.006053577,0.000414607,Symptomatic,1,4,0.00572744,0.000997309,110.8023389,39.80093542,1170,6.66666651,378
NM,93,Pennisetum alopecuroides,Poaceae,Grass,Asymptomatic,leaf spots,4,0.002678417,0.00085627,Symptomatic,1,4,0.003832508,0.000673297,109.4151014,39.56328889,1404,6.51250029,350
NM,94,Phragmites australis,Poaceae,Grass,Asymptomatic,leaf spots,4,0.004728155,0.000201242,Symptomatic,1,4,0.003931118,0.000212286,108.8271347,39.0033382,1328.75,7.20833349,338
HK,23,Bistorta vivipara,Polygonaceae,Forb,Asymptomatic,leaf spots,3,0.004812909,0.000282888,Symptomatic,1,3,0.004593575,0.00040731,96.11575417,33.46384583,4409.75,-2.20000005,509
HK,24,Potentilla bifurca,Rosaceae,Forb,Asymptomatic,leaf spots,3,0.006827266,0.00068307,Symptomatic,1,3,0.005218924,0.001778637,95.74072014,34.26029445,4270.5,-2.3125,400
LM,3,Oxytropis ochrocephala,Legume,Fabaceae,Asymptomatic,leaf spots,4,0.006448023,0.000760209,Symptomatic,1,4,0.006927091,0.000457885,101.4998674,34.96462709,3787.25,-0.866666675,578
LM,3,Polygonum sibiricum,Polygonaceae,Forb,Asymptomatic,leaf spots,4,0.00394058,0.000146788,Symptomatic,1,4,0.00426992,0.000692216,101.4998674,34.96462709,3787.25,-0.866666675,578
S,37,Potentilla anserina,Rosaceae,Forb,Asymptomatic,leaf spots,3,0.003249097,0.000446026,Symptomatic,1,3,0.003386916,0.000383027,100.8905764,36.94841806,3092,0.9708333,434
S,40,Potentilla anserina,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.002783752,0.000335383,Symptomatic,1,4,0.002894755,0.000151858,100.9195743,38.00179167,3730.75,-2.6916666,463
HB,1,Potentilla bifurca,Rosaceae,Forb,Asymptomatic,leaf blight,3,0.00140503,0.000581631,Symptomatic,1,4,0.001294065,0.000369718,101.35,37.62,3224,-1.2,489
HB,1,Lancea tibetica,Scrophulariaceae,Forb,Asymptomatic,leaf spots,3,0.002289128,0.000419652,Symptomatic,1,4,0.002137791,0.000274133,101.35,37.62,3224,-1.2,489
HB,1,Potentilla potaninii,Rosaceae,Forb,Asymptomatic,rusts,4,0.001598431,0.000322158,Symptomatic,2,4,0.001286971,0.000344001,101.35,37.62,3224,-1.2,489
HB,1,Bistorta vivipara,Polygonaceae,Forb,Asymptomatic,rusts,3,0.001667332,0.000593817,Symptomatic,2,3,0.000716256,0.000119279,101.35,37.62,3224,-1.2,489
HB,1,Saussurea nigrescens,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.002166293,0.00033454,Symptomatic,1,4,0.00180906,0.000384322,101.35,37.62,3224,-1.2,489
HB,1,Ligularia sagitta,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.00358181,0.000963013,Symptomatic,1,4,0.002641785,0.000234895,101.35,37.62,3224,-1.2,489
HB,1,Aster alpinus,Asteraceae,Forb,Asymptomatic,leaf spots,4,0.003059217,0.000946882,Symptomatic,1,4,0.002649509,0.000666375,101.35,37.62,3224,-1.2,489
HB,1,Aster alpinus,Asteraceae,Forb,Asymptomatic,powdery mildew,4,0.003059217,0.000946882,Symptomatic,2,4,0.002319468,0.000156377,101.35,37.62,3224,-1.2,489
HB,1,Saussurea pulchella,Asteraceae,Forb,Asymptomatic,leaf spots,3,0.002303287,7.49E-05,Symptomatic,1,4,0.002002975,0.000387946,101.35,37.62,3224,-1.2,489
HB,1,Potentilla anserina,Rosaceae,Forb,Asymptomatic,leaf spots,4,0.001499741,0.000381131,Symptomatic,1,4,0.001037144,5.24E-05,101.35,37.62,3224,-1.2,489
